Date,open,high,low,close,Volume,RSI,MACD,OnBalanceVolume,silver_mean,sp500_mean,vix_mean,gold_mean
07/02/21,39190.7025,39663.8,37340.45,38807.9725,66367293.14,63.11692232,1471.876586,1357925992,27.1825,,,1823.325
08/02/21,38807.9725,46783.8125,38008.4725,46368.4675,124174568.4,75.25014874,2163.15299,1482100561,27.203,3904.095,21.565,1833.975
09/02/21,46369.015,48141.1975,44971.0225,46434.755,111427629,75.32679296,2685.387889,1593528190,27.0895,3910.865,21.6,1840.245
10/02/21,46432.355,47308.5,43704.75,44807.995,109882927,69.62870458,2934.173545,1483645263,26.949,3915.335,21.815,1833.94
11/02/21,44804.945,48664.525,44006.405,47964.8775,107297080.5,73.7746242,3347.48429,1590942343,27.103,3916.395,21.67,1824.595
12/02/21,47975.465,48979.35,46149.35,47305.75,89985680.09,71.57785758,3580.575309,1500956663,,3923.245,20.785,
13-02-2021,47305.7375,48133.5,46222.8825,47160.2225,74018656.22,71.07443482,3710.783169,1426938007,,,,
14-02-2021,47160.945,49701.5575,47021.4425,48591.8975,94176313.65,73.07977538,3884.71744,1521114320,27.517,,,1821.595
15-02-2021,48590.2175,49006.53,44235.9975,47911.725,102545948.6,70.57638758,3922.461669,1418568372,27.3605,,,1806.51
16-02-2021,47916.075,50646.445,47021.855,49144.7125,100379586.5,72.42070012,4005.690918,1518947958,27.2305,3936.105,21.295,1783.755
17-02-2021,49144.7125,52611.735,48942.05,52120.9775,97465164.54,76.28490258,4262.672969,1616413123,27.154,3924.92,21.76,1775.7
18-02-2021,52118.5675,52529.95,50904.925,51568.35,64645547.03,74.20584271,4371.350468,1551767576,27.122,3914.92,22.235,1779.57
19-02-2021,51564.4525,56345.85,50727.3,55896.5,112698454.9,79.02686763,4751.946224,1664466031,,3913.94,22.575,
20-02-2021,55898.05,57638.165,53372.6325,55850.2975,112645826.5,78.85747254,4992.294879,1551820204,,,,
21-02-2021,55850.2475,58344.85,55488.9475,57419.3925,83818305.53,80.39481935,5248.879952,1635638510,27.773,,,1797.12
22-02-2021,57419.1375,57513.2675,45839,54103.7175,191876994.1,68.98047385,5125.593557,1443761516,27.863,3881.03,23.955,1806.945
23-02-2021,54098.3675,54178.4975,44885.39,48903.15,219853696.1,55.63748854,4555.730244,1223907820,27.7535,3883.465,22.965,1805.155
24-02-2021,48900.45,51364.4475,47002.5225,49683.15,136750442.6,56.98151992,4119.561207,1360658262,27.602,3899.575,22.55,1786.325
25-02-2021,49678.8025,52028.9825,46653.285,47085.5325,106292402.3,51.39685815,3523.669412,1254365860,27.0095,3872.575,25.31,1752.505
26-02-2021,47085.1825,48415.1775,44124.945,46288.5175,142996241.6,49.78460766,2953.0673,1111369618,,3825.41,28.34,
27-02-2021,46288.82,48388.2,44918.25,46116.5575,76433884.76,49.42437008,2458.643568,1034935734,,,,
28-02-2021,46114.3175,46630.415,43003.9,45147.965,106875448.1,47.34624362,1965.989179,928060285.5,26.593,,,1730.605
01/03/21,45145.0275,49779.4,44958.8325,49588.4075,104996205.3,56.39755105,1911.825293,1033056491,26.5775,3872.17,24.275,1730.155
02/03/21,49590.59,50200.3,47053.55,48447.5125,81503742.6,53.83683294,1756.590451,951552748.2,26.3945,3886.97,23.84,1724.125
03/03/21,48446.2025,52628.95,48105.9275,50351.8425,91462174.57,57.3202718,1766.861951,1043014923,25.672,3841.86,24.735,1703.795
04/03/21,50352.8925,51768.77,47504.6,48372.5225,100689780.2,52.85583324,1596.879771,942325142.6,25.2555,3793.505,27.545,1698.505
05/03/21,48372.5225,49452.4825,46248.4,48755.6275,104477003.7,53.60898121,1476.065872,1046802146,,3817.765,27.07,
06/03/21,48748.4025,49228.05,47034.5,48880.75,57568797.76,53.86818846,1374.571126,1104370944,,,,
07/03/21,48887.3,51439.8575,48887.3,50953.8875,76605573.22,58.05050883,1444.766312,1180976517,25.232,,,1694.02
08/03/21,50963.8275,52393.945,49285.4175,52378.0425,90393765.4,60.68729495,1596.905774,1271370283,25.499,3832.875,26.54,1699.935
09/03/21,52377.995,54881.8,51824.2525,54876.675,99280776.5,64.86046914,1897.226112,1370651059,26.014,3863.69,24.57,1720.29
10/03/21,54874.1675,57373.1725,52968.7,55863.8975,141544598.1,66.37906628,2189.651806,1512195657,26.102,3895.405,23.16,1724.01
11/03/21,55862.9975,58150,54259.455,57779.59,127200849.7,69.16390433,2546.625734,1639396507,25.9345,3927.445,22.205,1723.6
12/03/21,57779.2875,58070.3775,55011.81,57237.43,137846256,67.46086601,2754.035555,1501550251,,3933.935,21.63,
13-03-2021,57228.53,61828.9,56072.9575,61185.7975,146581359.9,72.7276566,3200.120594,1648131611,,,,
14-03-2021,61182.495,61708.4475,58987.695,58988.3275,112927404.9,66.29611577,3337.852056,1535204206,26.096,,,1729.825
15-03-2021,58990.27,60633.8075,54594.55,55608.1,203109833.5,57.8249346,3138.075344,1332094372,26.073,3955.955,20.935,1730.79
16-03-2021,55608.1,56927.0225,53259.235,56892.0875,232548161.2,59.91991383,3048.219938,1564642534,26.105,3968.155,19.965,1738.475
17-03-2021,56892.085,58965.3325,54140.1725,58894.6425,196712515.2,63.00636638,3102.830832,1761355049,26.2285,3961.85,19.665,1742.44
18-03-2021,58898.1925,60116.8425,57012.75,57650.49,164402007.4,59.91916656,3011.008617,1596953041,26.1075,3934.485,20.265,1739.765
19-03-2021,57648.7,59461.3,56176.685,58029.8525,123781947.4,60.55384486,2935.017182,1720734989,,3913.125,21.19,
20-03-2021,58029.9025,59884.05,57827.0925,58112.82,96178894.7,60.70042991,2848.650734,1816913884,,,,
21-03-2021,58112.255,58593.575,55475.7775,57349.49,129117981.3,58.54504669,2687.629035,1687795902,25.9275,,,1740.51
22-03-2021,57347.04,58421.9325,53667,54089.1125,155833567.8,50.325343,2270.757089,1531962334,25.392,3928.54,20.395,1732.915
23-03-2021,54084.4625,55832.775,52988.9,54350.4225,133789948.3,50.92007817,1939.115682,1665752283,25.0555,3924.065,19.88,1730.22
